Gene,TNK,B,MonoMacro,Mast,Endothelial,Malignant,Stroma,DC,Epithelial
BATF,3.01537760544942,0.317192539424922,0.193417234433978,2.81551324392106,0.043304478116082,0.255034263527607,0.0647434305096009,0.200291635595655,0.278883923319912
LCK,3.00858926397579,0.381615017795416,0.0200787571912126,0.00736350997902872,0.0680304504296123,0.00870909097140197,0.0403920516569384,0.0413701576734334,0.0684621946094372
CTSC,2.98235567079042,0.846207767931955,11.16185134829,1.49428449794279,0.825425097912261,1.20697082439397,1.75450451650456,5.00278472437765,1.62770631740015
XBP1,2.94365954354278,2.81383016059645,2.23819817586432,2.77297730930141,1.32967344901557,2.85426313099892,2.02884269378286,2.50475849674891,3.98262646310002
CTSD,2.93654141858305,0.744508595131581,22.5615904190196,11.4879382276084,2.70106102738693,9.47563724372489,3.27849963913496,3.15997400977825,7.76308686270688
IFITM3,2.92426101394014,0.6753907226823,6.14965355875322,2.83570290500544,49.166380920367,13.9227501659864,33.8186097779587,5.96879372515278,14.5841484192212
FABP5,2.86369268010642,1.81706788779895,9.89050268111684,0.565587306792018,5.00610686595796,0.369780174883356,1.22315655545303,3.63342919768646,2.31761644487244
CCR7,2.65264011182958,21.2923395685534,0.0728567359167291,0.0539361869907177,0.0144236039393747,0.00978478882910652,0.0488734756499832,2.82640519106751,0.048501042519404
CSTB,2.65238383020534,1.74387959775464,23.3888264457046,4.82867985470257,4.58391342235899,12.0377455189466,3.07203593504484,7.81204186092778,13.7871340670676
BCAS2,2.64332209528362,6.12687653214304,0.944194472385115,2.28211073353053,0.511505030466796,0.44265539880635,0.603279342711037,1.71829637954931,0.625323462439134
TSPO,2.59125320147065,1.04554427041972,15.5888010504285,4.28802458440661,3.90046548330101,5.48389120997767,3.42015683734696,5.49299246117559,3.14903662807494
ETS1,2.53832641259403,0.444123316519205,0.0296445235294331,0.0174130259813968,2.43617913441721,0.06743622674364,0.323473149050234,0.0970612448494378,0.0435650348367415
GSTP1,2.52794768185801,2.09578320448568,8.25509839405946,2.66714850290589,5.9669257565643,18.3622540096666,7.60865398855376,7.9155865780018,19.8541208829055
GPR171,2.51904745116181,0.0219589734328731,0.0118184156656812,0.0392508748970033,0.0,0.0274242031904235,0.0136291773428556,0.217286607687066,0.0270687393701005
RGS10,2.45540913801004,1.23679703323293,3.00072482907164,6.20641384173201,0.0733738055429757,0.95977050752496,0.811249625845368,7.038978937982,0.331188175463407
GZMM,2.42001920000811,0.0212255065938147,0.0180035681422805,0.0,0.0818531345158092,0.0143351245984786,0.0237449776696766,0.0197286976458066,0.0400030883328006
ANXA2,2.41287312446402,1.39162218369966,16.5850240090061,0.782121632650933,12.2347142522488,13.2062565655504,11.6842110476021,9.70308309903283,7.96546678521614
ANKRD37,2.35520825331883,5.98290586361955,0.579518822825668,2.03291642807523,0.532574432622926,0.685309338313986,0.759441504427496,1.32997485885046,0.881727087103577
CD8B,2.34240355600719,0.0449236568843409,0.00848779268292801,0.0397040679816684,0.0155812993245507,0.0062547039360964,0.0191828297432382,0.0209337501494288,0.0894586061986738
CD96,2.30199841830502,0.22353837300985,0.0243473956282088,0.0367656646054519,0.0360369067698727,0.0167061185168329,0.0321837888637959,0.0271107896964817,0.097765773199708
TRAT1,2.19217691780143,0.0357648724387554,0.0143227404841443,0.0196408088870732,0.0276849562716116,0.00542202116863105,0.0202554589744357,0.00518747858740595,0.0288988094051625
GPR65,2.19117104806675,1.07385294940897,0.468072504181187,5.2313363165848,0.0292500292500293,0.00396525871913619,0.0514687547806271,1.27903068635955,0.0410786239640172
SEC61G,2.109795777882,1.38632945972281,3.26235537603557,2.40213533779607,3.99477768475421,8.3724780104757,4.16186674937428,3.38707914877001,12.4395875959449
SOCS3,2.10029796545066,2.74213933401757,2.25075984848981,1.26100768673789,11.8578934031489,1.47971260856612,2.99489033001327,3.37380073854495,1.96725493199016
PSAP,2.07549187689775,1.96694008193478,23.3411699899575,5.48823675465615,4.3744240902719,7.02510573110879,6.48258704950382,8.66445398765881,3.65524434847701
TIGIT,2.04744796858258,0.100370153748236,0.00826577455370876,0.0371655334677869,0.0,0.00198314709466053,0.010416965625094,0.0289423232855196,0.0
IGHA1,2.04409529798497,239.460624446202,1.2897607490017,1.91927184164221,2.37660537277722,1.72210365977119,2.88211645390796,1.34568655376046,3.43410865063163
LGALS3,1.94510518425342,0.489235239424127,18.911399639144,5.34430858737507,3.73427510792481,7.24677188292942,6.05840865082364,3.78236487777052,8.36706103220983
FCER1G,1.86438797321751,0.381852594928529,30.1127130146891,14.1845361024608,0.373696291469048,0.194468610628795,0.454656877369611,17.1904908169597,0.570922081982365
GPX1,1.81839928900152,3.14995758515708,20.8901629561861,8.002316156544,6.12787173626019,7.78150275219682,4.8951135315033,23.395913877566,5.91661703070528
GLUL,1.79641717986359,0.490939388250828,14.0631674172469,13.4879909855522,1.67502460695091,2.46463290492388,3.11310343648406,5.44852853032727,3.01259674464597
SCGB3A1,1.74452747128734,1.48895670768745,1.40191555235198,2.63327785943856,2.45177320266904,25.323631034599,2.33822921220969,1.51358961451941,213.676222391212
OCIAD2,1.71705336103904,0.959417171281897,0.118599307037174,0.724283562339736,1.38952985441664,6.4585063393172,0.51685943757179,0.355194400864888,4.42807549108455
CTSS,1.67892453520497,3.32414753609383,18.5642324569333,1.23825254552244,0.723838492262493,1.63715418498475,0.759353449528098,6.98213413275149,1.20613696927386
FKBP1A,1.67022614729523,0.770658336677819,4.74925668816706,2.26508390258838,21.2773781562214,2.58902127511357,3.53196312779231,3.83061574959295,2.62784871677061
MT1E,1.66909564188912,0.307638581114121,3.48515757038538,0.152995335130055,6.3823347480329,12.2200822475914,8.93947828043109,0.952959864161635,6.25375596775312
HLA-DQB1,1.63437411375541,13.4663122136063,11.3736683628206,0.66585897047993,1.23262457415278,2.86741969279016,0.162439763567398,35.316501556265,2.778502875387
TYMP,1.5834140502591,4.46805381205906,5.35857791206347,0.888837771835536,0.663333616815931,2.14891297276902,1.74097450336907,7.01887846129894,1.11366176301058
FOXP1,1.56740577047791,1.47561340901458,0.660214114789255,4.78785201536747,2.67382744436764,1.29799822720712,1.85373513986418,1.16368606118433,1.44465973174432
CD83,1.52804565532885,20.2458369304458,3.28123091601104,5.0475238882376,0.234865411531973,0.250912985522585,0.262401731775264,11.5300202413727,0.757279663026132
CEBPD,1.44592372783608,0.133241771256156,5.61122426550507,0.130157070092338,11.9947844735173,6.04276410262111,9.04238206238736,8.53143299315298,7.78210869501879
NFKBIZ,1.40188412358303,1.21418936075394,1.97618798966687,5.65996011729465,2.3405790963643,1.74829274663066,2.08698277462872,1.5830692416838,2.02377550243369
INSIG1,1.38216614401953,1.82001837455095,1.68112860993651,0.816348241485783,1.19640022381826,0.546952526543492,0.410430125481161,4.3502749016732,0.711041388431816
IGLC2,1.31089282905621,44.8794827691851,0.583241684215886,1.68992278513512,1.01106809230352,0.552332129192306,1.90334423621777,0.910614106305399,1.26207291384445
PIM2,1.29175405912831,2.9520824714123,0.146127459154071,1.26570361315096,0.0809732688179475,0.213583836782431,0.0536589033990115,0.627789833591825,0.148926570161158
LAPTM4A,1.28747315273028,1.97091604238584,2.94885890831827,17.8197239155976,6.10186172736336,3.15775553147921,11.6332219320855,2.50532805701647,4.33282962669015
GSTO1,1.28705797044039,0.945154539849768,8.18354194270688,1.90939844878195,3.1193178442402,1.47830230484965,2.20409918001155,3.83295160126029,0.752306949302666
TIMP1,1.23166959583276,0.664190923695745,13.6510107453514,6.56787551838524,15.5846833105594,5.66380584357975,73.4977683730496,8.90381094524507,6.7623263792803
NPC2,1.20810490907183,2.07117538782197,16.354139451886,6.35520067252179,9.25606420968129,14.2510970625325,6.22618738499765,15.5051041890337,36.5081801924598
YWHAH,1.15620352551964,1.54165514979188,3.34532205259411,0.91743662100677,3.08762515058115,1.37252666736927,1.61724771851437,7.67559568210927,0.830293344947385
PDCD6,1.07918339651674,0.921992474467512,1.06926904882468,1.02883044329896,1.76836629594654,7.10643085403913,1.19678981563998,1.13796256510594,2.3491724582187
HLA-DQA1,1.05663605284971,13.4961430815193,8.49788407738201,0.312733635749543,1.26223414293259,1.54398404053309,0.250388879040113,27.2034477870239,2.4113450161568
CTSB,1.02384762739847,0.960801522293655,15.1182867506569,1.70287166127728,2.30268605771096,1.77510922063497,4.29471133766605,7.74136306241766,1.71473430478955
